AVERAGE normalized mass-specific mineral absorption coefficient, amin*(wavelength) in m^2/gram,
for use by IOP routines.  These values times the concentration of mineral particles in gram/m^3
give the absoption coefficient of the generic mineral particles in 1/m.
These values are the average of the calcareous sand, red clay, yellow clay, and brown earth spectra
on those data files in the HE5/data/defaults directory.
See those files for documention of the individual spectra used to compute this average.
Record 7: unused
Record 8: unused
wavelen    amin*
  (nm)  (m^2/gram)
  300.0   0.15500
  305.0   0.15115
  310.0   0.14736
  315.0   0.14362
  320.0   0.13994
  325.0   0.13629
  330.0   0.13269
  335.0   0.12914
  340.0   0.12563
  345.0   0.12217
  350.0   0.11875
  355.0   0.11538
  360.0   0.11207
  365.0   0.10880
  370.0   0.10558
  375.0   0.10241
  380.0   0.09931
  385.0   0.09626
  390.0   0.09327
  395.0   0.09035
  400.0   0.08750
  405.0   0.08472
  410.0   0.08197
  415.0   0.07918
  420.0   0.07629
  425.0   0.07325
  430.0   0.07002
  435.0   0.06672
  440.0   0.06347
  445.0   0.06043
  450.0   0.05775
  455.0   0.05552
  460.0   0.05367
  465.0   0.05209
  470.0   0.05065
  475.0   0.04925
  480.0   0.04779
  485.0   0.04628
  490.0   0.04472
  495.0   0.04312
  500.0   0.04150
  505.0   0.03987
  510.0   0.03824
  515.0   0.03663
  520.0   0.03505
  525.0   0.03350
  530.0   0.03200
  535.0   0.03054
  540.0   0.02910
  545.0   0.02767
  550.0   0.02625
  555.0   0.02482
  560.0   0.02341
  565.0   0.02207
  570.0   0.02083
  575.0   0.01975
  580.0   0.01885
  585.0   0.01810
  590.0   0.01749
  595.0   0.01696
  600.0   0.01650
  605.0   0.01608
  610.0   0.01569
  615.0   0.01533
  620.0   0.01502
  625.0   0.01475
  630.0   0.01452
  635.0   0.01432
  640.0   0.01414
  645.0   0.01396
  650.0   0.01375
  655.0   0.01352
  660.0   0.01326
  665.0   0.01300
  670.0   0.01274
  675.0   0.01250
  680.0   0.01228
  685.0   0.01209
  690.0   0.01192
  695.0   0.01176
  700.0   0.01162
  705.0   0.01150
  710.0   0.01139
  715.0   0.01129
  720.0   0.01120
  725.0   0.01111
  730.0   0.01104
  735.0   0.01096
  740.0   0.01090
  745.0   0.01084
  750.0   0.01078
  755.0   0.01072
  760.0   0.01067
  765.0   0.01062
  770.0   0.01057
  775.0   0.01052
  780.0   0.01047
  785.0   0.01042
  790.0   0.01036
  795.0   0.01031
  800.0   0.01025
  805.0   0.01019
  810.0   0.01013
  815.0   0.01006
  820.0   0.00999
  825.0   0.00992
  830.0   0.00985
  835.0   0.00977
  840.0   0.00970
  845.0   0.00962
  850.0   0.00954
  855.0   0.00946
  860.0   0.00938
  865.0   0.00931
  870.0   0.00922
  875.0   0.00915
  880.0   0.00907
  885.0   0.00898
  890.0   0.00891
  895.0   0.00883
  900.0   0.00875
  905.0   0.00867
  910.0   0.00860
  915.0   0.00852
  920.0   0.00845
  925.0   0.00837
  930.0   0.00829
  935.0   0.00822
  940.0   0.00814
  945.0   0.00807
  950.0   0.00800
  955.0   0.00792
  960.0   0.00785
  965.0   0.00778
  970.0   0.00770
  975.0   0.00763
  980.0   0.00755
  985.0   0.00747
  990.0   0.00740
  995.0   0.00733
 1000.0   0.00725
   -1.0  -1.00000
