AVERAGE normalized mass-specific mineral scattering coefficient, bmin*(wavelength) in m^2/gram,
for use by IOP routines.  These values times the concentration of mineral particles in gram/m^3
give the scattering coefficient of the generic mineral particles in 1/m.
These values are the average of the calcareous sand, red clay, yellow clay, and brown earth spectra
on those data files in the HE5/data/defaults directory
See those files for documention of the individual spectra used to compute this average.
Record 7: unused
Record 8: unused  average
wavelen    bmin*
  (nm)  (m^2/gram)
  300.0   0.78750
  305.0   0.78882
  310.0   0.79035
  315.0   0.79208
  320.0   0.79397
  325.0   0.79600
  330.0   0.79813
  335.0   0.80037
  340.0   0.80269
  345.0   0.80507
  350.0   0.80750
  355.0   0.80997
  360.0   0.81253
  365.0   0.81523
  370.0   0.81813
  375.0   0.82128
  380.0   0.82477
  385.0   0.82865
  390.0   0.83301
  395.0   0.83793
  400.0   0.84350
  405.0   0.84976
  410.0   0.85647
  415.0   0.86332
  420.0   0.87002
  425.0   0.87625
  430.0   0.88175
  435.0   0.88642
  440.0   0.89017
  445.0   0.89290
  450.0   0.89450
  455.0   0.89489
  460.0   0.89418
  465.0   0.89251
  470.0   0.88999
  475.0   0.88675
  480.0   0.88289
  485.0   0.87863
  490.0   0.87416
  495.0   0.86971
  500.0   0.86550
  505.0   0.86168
  510.0   0.85819
  515.0   0.85490
  520.0   0.85171
  525.0   0.84850
  530.0   0.84517
  535.0   0.84167
  540.0   0.83796
  545.0   0.83400
  550.0   0.82975
  555.0   0.82517
  560.0   0.82031
  565.0   0.81521
  570.0   0.80992
  575.0   0.80450
  580.0   0.79897
  585.0   0.79326
  590.0   0.78730
  595.0   0.78100
  600.0   0.77425
  605.0   0.76701
  610.0   0.75938
  615.0   0.75154
  620.0   0.74361
  625.0   0.73575
  630.0   0.72806
  635.0   0.72043
  640.0   0.71270
  645.0   0.70469
  650.0   0.69625
  655.0   0.68729
  660.0   0.67815
  665.0   0.66922
  670.0   0.66094
  675.0   0.65375
  680.0   0.64792
  685.0   0.64307
  690.0   0.63866
  695.0   0.63414
  700.0   0.62900
  705.0   0.62284
  710.0   0.61593
  715.0   0.60865
  720.0   0.60143
  725.0   0.59464
  730.0   0.58861
  735.0   0.58324
  740.0   0.57837
  745.0   0.57386
  750.0   0.56954
  755.0   0.56528
  760.0   0.56108
  765.0   0.55694
  770.0   0.55285
  775.0   0.54883
  780.0   0.54488
  785.0   0.54102
  790.0   0.53724
  795.0   0.53356
  800.0   0.53000
  805.0   0.52656
  810.0   0.52323
  815.0   0.52000
  820.0   0.51686
  825.0   0.51379
  830.0   0.51080
  835.0   0.50786
  840.0   0.50497
  845.0   0.50212
  850.0   0.49932
  855.0   0.49654
  860.0   0.49380
  865.0   0.49108
  870.0   0.48839
  875.0   0.48572
  880.0   0.48305
  885.0   0.48040
  890.0   0.47776
  895.0   0.47513
  900.0   0.47250
  905.0   0.46987
  910.0   0.46726
  915.0   0.46464
  920.0   0.46203
  925.0   0.45943
  930.0   0.45683
  935.0   0.45425
  940.0   0.45167
  945.0   0.44911
  950.0   0.44655
  955.0   0.44403
  960.0   0.44152
  965.0   0.43902
  970.0   0.43656
  975.0   0.43412
  980.0   0.43171
  985.0   0.42934
  990.0   0.42701
  995.0   0.42473
 1000.0   0.42250
   -1.0  -1.00000
