## Ed simulated by Hydrolight, using default wind, solar model.
## parameter given by: ILakeErie_11_May_2015_site_970.txt
##  HE5.2 ECOLIGHT:  07/12/2017 23:05"

## based on a Canadian site: 41.8215,-82.9718 
## Date: 2015 - 05 -11 
## 


Wavelength	Ed_diffuse	Ed_direct	Ed_total(W/m^2 nm)
401.5	0.15519	0.27234	0.42753
404.5	0.15205	0.26682	0.41887
407.5	0.15418	0.27057	0.42475
410.5	0.16465	0.28892	0.45357
413.5	0.1678	0.29446	0.46226
416.5	0.17054	0.29926	0.4698
419.5	0.16632	0.29186	0.45818
422.5	0.16978	0.29793	0.46771
425.5	0.16467	0.28897	0.45364
428.5	0.1463	0.25673	0.40303
431.5	0.14571	0.2557	0.40141
434.5	0.17391	0.30518	0.47909
437.5	0.1795	0.31499	0.49449
440.5	0.18236	0.32	0.50236
443.5	0.19545	0.34297	0.53842
446.5	0.19771	0.34695	0.54467
449.5	0.21265	0.37317	0.58582
452.5	0.21027	0.36899	0.57926
455.5	0.21268	0.37322	0.58591
458.5	0.21227	0.37249	0.58476
461.5	0.21235	0.37263	0.58498
464.5	0.21141	0.37099	0.58241
467.5	0.21356	0.37475	0.58831
470.5	0.2137	0.375	0.5887
473.5	0.21646	0.37984	0.5963
476.5	0.22123	0.38823	0.60946
479.5	0.22014	0.3863	0.60644
482.5	0.2194	0.385	0.60439
485.5	0.20001	0.35099	0.551
488.5	0.20929	0.36727	0.57657
491.5	0.21567	0.37846	0.59413
494.5	0.22184	0.38929	0.61113
497.5	0.2143	0.37606	0.59036
500.5	0.20743	0.364	0.57143
503.5	0.20885	0.3665	0.57536
506.5	0.21675	0.38035	0.5971
509.5	0.21529	0.3778	0.59309
512.5	0.214	0.37554	0.58954
515.5	0.19858	0.34847	0.54704
518.5	0.19047	0.33425	0.52472
521.5	0.20975	0.36807	0.57782
524.5	0.21145	0.37105	0.5825
527.5	0.20678	0.36286	0.56963
530.5	0.2204	0.38676	0.60715
533.5	0.20786	0.36476	0.57262
536.5	0.21516	0.37757	0.59273
539.5	0.20974	0.36805	0.57779
542.5	0.20947	0.36759	0.57706
545.5	0.21544	0.37806	0.5935
548.5	0.2113	0.37079	0.58209
551.5	0.21125	0.37071	0.58196
554.5	0.21187	0.37179	0.58366
557.5	0.20614	0.36174	0.56787
560.5	0.20577	0.36109	0.56686
563.5	0.20882	0.36644	0.57526
566.5	0.20607	0.36162	0.5677
569.5	0.20317	0.35652	0.55969
572.5	0.20764	0.36437	0.57201
575.5	0.20771	0.36449	0.57219
578.5	0.20838	0.36566	0.57404
581.5	0.21114	0.37052	0.58166
584.5	0.20914	0.367	0.57614
587.5	0.19475	0.34175	0.53649
590.5	0.18237	0.32003	0.5024
593.5	0.19082	0.33486	0.52568
596.5	0.19526	0.34265	0.53791
599.5	0.19755	0.34667	0.54422
602.5	0.20064	0.35209	0.55273
605.5	0.20552	0.36066	0.56618
608.5	0.20273	0.35576	0.5585
611.5	0.20068	0.35216	0.55284
614.5	0.1957	0.34341	0.53911
617.5	0.19748	0.34653	0.54401
620.5	0.20262	0.35556	0.55817
623.5	0.19748	0.34655	0.54403
626.5	0.19391	0.34028	0.53419
629.5	0.19416	0.34072	0.53488
632.5	0.19538	0.34286	0.53823
635.5	0.1964	0.34464	0.54104
638.5	0.1991	0.34939	0.5485
641.5	0.19667	0.34513	0.5418
644.5	0.19452	0.34134	0.53586
647.5	0.18507	0.32477	0.50984
650.5	0.18495	0.32455	0.5095
653.5	0.18672	0.32766	0.51438
656.5	0.17363	0.30468	0.47831
659.5	0.19076	0.33474	0.5255
662.5	0.19445	0.34123	0.53569
665.5	0.19353	0.33961	0.53314
668.5	0.19401	0.34045	0.53446
671.5	0.19226	0.33738	0.52964
674.5	0.19249	0.33779	0.53028
677.5	0.19176	0.33651	0.52827
680.5	0.18984	0.33314	0.52298
683.5	0.18871	0.33115	0.51986
686.5	0.1599	0.28059	0.44049
689.5	0.15317	0.26879	0.42197
692.5	0.16033	0.28135	0.44167
695.5	0.16539	0.29023	0.45561
698.5	0.17129	0.30058	0.47187
701.5	0.16303	0.28609	0.44912
704.5	0.16961	0.29763	0.46724
707.5	0.17195	0.30173	0.47368
710.5	0.17356	0.30457	0.47813
713.5	0.17078	0.29969	0.47047
716.5	0.14414	0.25294	0.39708
719.5	0.11781	0.20674	0.32455
722.5	0.13897	0.24387	0.38285
725.5	0.12779	0.22425	0.35204
728.5	0.12923	0.22678	0.35601
731.5	0.13946	0.24472	0.38417
734.5	0.15592	0.27362	0.42954
737.5	0.15733	0.27608	0.43341
740.5	0.16068	0.28196	0.44264
743.5	0.16619	0.29164	0.45783
746.5	0.16895	0.29648	0.46542
749.5	0.16735	0.29367	0.46103
752.5	0.16741	0.29377	0.46118
755.5	0.16725	0.29349	0.46074
758.5	0.1299	0.22794	0.35784
761.5	0.04591	0.080563	0.12647
764.5	0.077961	0.13681	0.21477
767.5	0.13418	0.23547	0.36965
770.5	0.15771	0.27675	0.43446
773.5	0.15944	0.27979	0.43923
776.5	0.16002	0.2808	0.44081
779.5	0.16005	0.28086	0.44091
782.5	0.15912	0.27922	0.43834
785.5	0.15669	0.27496	0.43165
788.5	0.14946	0.26227	0.41172
791.5	0.14546	0.25525	0.40071
794.5	0.14584	0.25592	0.40176
797.5	0.14598	0.25617	0.40215
799.5	0.14543	0.25521	0.40064
