"CHLOROPHYLL-SPECIFIC ABSORPTION" coefficient, achl*(wavelength) in m^2/mg, 
based on the equation: abs(chl) = A x Chl^(-B) x Chl  =A x Chl^(1-B) 




this lines are leave blank to consistent with other IOP files

#LakeErie (all 304 samples)
wavelength(nm)	A	B
800	5.16375E-07	0.999998163
799	3.67718E-07	0.999998501
798	1.3261E-10	1
797	4.98795E-09	0.999999979
796	4.9458E-07	0.999997636
795	3.49994E-10	0.999999999
794	6.21259E-10	0.999999999
793	1.01479E-07	0.999999399
792	1.87809E-09	0.999999997
791	3.06258E-07	0.999998878
790	1.62159E-10	1
789	2.92684E-09	0.999999994
788	7.54608E-09	0.999999984
787	4.38616E-09	0.999999995
786	8.36148E-08	0.999999887
785	9.12085E-09	0.999999992
784	1.45673E-09	0.999999997
783	1.09341E-09	0.999999996
782	2.60801E-09	0.999999995
781	1.4811E-07	0.999999598
780	2.45642E-07	0.999999681
779	4.30476E-07	0.999999575
778	7.28828E-09	0.999999986
777	1.81166E-09	0.999999997
776	3.33746E-08	0.999999944
775	6.57553E-08	0.999999931
774	3.54262E-08	0.999999933
773	1.41893E-05	0.999999907
772	8.35721E-07	0.999999336
771	2.29089E-09	1
770	1.87501E-09	0.999999999
769	8.49903E-09	0.99999998
768	2.29381E-10	0.999999999
767	1.58447E-09	0.999999999
766	2.18846E-09	0.999999998
765	4.52088E-07	0.999999446
764	2.92201E-07	0.999999879
763	4.19877E-06	0.999999979
762	1.64581E-07	0.999999995
761	2.66793E-08	0.999999988
760	7.64237E-07	0.999998276
759	3.08658E-07	0.999999978
758	8.37736E-07	0.999996684
757	2.77545E-06	0.999998885
756	0.000230338	0.999991669
755	0.000247792	0.999999852
754	1.14357E-05	0.999999462
753	0.000710292	0.999997738
752	0.000473412	0.99999264
751	1.58689E-06	0.999997664
750	0.00016749	0.999999531
749	0.000354535	0.999998506
748	6.40145E-05	0.999996007
747	2.75844E-06	0.999998856
746	0.000743236	0.999800347
745	0.000978131	0.999845595
744	0.002245362	0.961088735
743	0.001139971	0.999138027
742	0.001499507	0.84392481
741	0.001831101	0.860512683
740	0.001702902	0.708120066
739	0.001189907	0.53402919
738	0.001148909	0.506720327
737	0.000460768	0.345914859
736	0.001629289	0.541618234
735	0.001578266	0.512321242
734	0.001017537	0.355293874
733	0.001113925	0.359674512
732	0.001596962	0.397563227
731	0.001425747	0.393630893
730	0.001900534	0.41274349
729	0.001541492	0.352311084
728	0.001552119	0.303666328
727	0.001771481	0.308943331
726	0.002117019	0.342847509
725	0.00249986	0.341295272
724	0.002025681	0.289487007
723	0.002142555	0.267256772
722	0.002108872	0.25038104
721	0.002307237	0.246751987
720	0.002593459	0.251608136
719	0.002631702	0.237568999
718	0.002576313	0.220390649
717	0.002682683	0.212042724
716	0.002901309	0.210037743
715	0.00310906	0.210957579
714	0.003038482	0.186124797
713	0.003304967	0.186550347
712	0.003403576	0.18118883
711	0.003557157	0.178369958
710	0.003548335	0.162297794
709	0.004060696	0.173346749
708	0.004114182	0.163795844
707	0.004471398	0.166191537
706	0.004672763	0.156988528
705	0.004912342	0.153964243
704	0.005465263	0.163725095
703	0.006031106	0.164585745
702	0.006258435	0.156921569
701	0.00682093	0.157922043
700	0.007491455	0.161659431
699	0.008278658	0.164924015
698	0.009110697	0.167764542
697	0.00990054	0.166606977
696	0.011096322	0.173676399
695	0.012205376	0.177327524
694	0.013758165	0.184828239
693	0.01503463	0.187139188
692	0.016743927	0.194091671
691	0.018281486	0.196210154
690	0.020383484	0.205266548
689	0.022287212	0.210453215
688	0.023937368	0.213659112
687	0.025861287	0.217865284
686	0.027914896	0.222706986
685	0.029767472	0.227885938
684	0.031841881	0.233757147
683	0.033494441	0.238755474
682	0.03488127	0.241893187
681	0.036146387	0.245175341
680	0.036750075	0.246199391
679	0.037414701	0.248399717
678	0.038505241	0.253273359
677	0.038630049	0.254087014
676	0.038885952	0.256958674
675	0.038773147	0.257828177
674	0.039124184	0.262032345
673	0.038758628	0.262723878
672	0.038302008	0.263589378
671	0.03786246	0.265297926
670	0.037337804	0.26605038
669	0.036616952	0.267279636
668	0.035278349	0.266366568
667	0.034463402	0.267373374
666	0.033099331	0.266312939
665	0.031850154	0.265914763
664	0.030375966	0.26383106
663	0.029071557	0.262936868
662	0.027590185	0.261003918
661	0.026000018	0.256045931
660	0.024892149	0.255300874
659	0.023296724	0.249173361
658	0.022096539	0.244793536
657	0.020815581	0.238107224
656	0.01985658	0.233955503
655	0.019080157	0.23029305
654	0.01813976	0.22327311
653	0.017634952	0.219837746
652	0.016859219	0.212244948
651	0.016467749	0.208682313
650	0.015913642	0.201353982
649	0.01574761	0.198362371
648	0.015424288	0.193005591
647	0.015050642	0.186484522
646	0.015141645	0.186149392
645	0.015083026	0.182085845
644	0.014852516	0.176439205
643	0.014709828	0.172274712
642	0.014752562	0.168410154
641	0.014770686	0.165520108
640	0.015042956	0.166461546
639	0.014941877	0.162226322
638	0.014938285	0.15953036
637	0.01506955	0.158319659
636	0.015010733	0.155424676
635	0.015051451	0.153834975
634	0.015313509	0.155348032
633	0.01543911	0.155302533
632	0.015512569	0.154669179
631	0.015337754	0.151136642
630	0.015345195	0.15013132
629	0.015318074	0.149013477
628	0.015478776	0.150398032
627	0.015517494	0.149977875
626	0.015362958	0.147636255
625	0.015371542	0.147638678
624	0.015238973	0.145924234
623	0.015228619	0.146156918
622	0.015271613	0.147221456
621	0.015226675	0.147350187
620	0.015008362	0.144780646
619	0.014873893	0.144310747
618	0.014990815	0.146484611
617	0.014579577	0.142331061
616	0.014594539	0.145162629
615	0.014306252	0.142356806
614	0.01406044	0.140461525
613	0.013961664	0.141887225
612	0.013645374	0.139582994
611	0.013589872	0.140792263
610	0.013250038	0.138494554
609	0.013130267	0.139419044
608	0.012827459	0.137109123
607	0.012852889	0.139992763
606	0.012771187	0.141171702
605	0.012644614	0.141207777
604	0.012450383	0.141035665
603	0.012337745	0.140611782
602	0.012225163	0.141909107
601	0.012247498	0.144241696
600	0.012229125	0.144561745
599	0.012133337	0.145731883
598	0.012165482	0.147476383
597	0.012248954	0.150330584
596	0.012298701	0.152349454
595	0.012235446	0.15289596
594	0.012204467	0.154091781
593	0.012433906	0.158919831
592	0.012361565	0.159517377
591	0.01242639	0.161842868
590	0.012453601	0.163124027
589	0.01229135	0.163025466
588	0.012292753	0.163811814
587	0.012260771	0.165004604
586	0.012323874	0.168334181
585	0.012312116	0.169844482
584	0.012232717	0.171150119
583	0.012383661	0.174819211
582	0.012203639	0.173932965
581	0.012166512	0.175082944
580	0.012102992	0.176954773
579	0.01210387	0.178233166
578	0.011997391	0.178976671
577	0.011986733	0.180296717
576	0.012174228	0.186302897
575	0.011998987	0.186252343
574	0.011944885	0.187047644
573	0.011886272	0.188606642
572	0.01191312	0.190485409
571	0.0119206	0.193826702
570	0.011973445	0.197097212
569	0.011653562	0.193340236
568	0.011795008	0.199178608
567	0.011714707	0.199921518
566	0.011659006	0.201017709
565	0.011800315	0.204830814
564	0.012015951	0.210118712
563	0.011664962	0.205930547
562	0.01171323	0.207809521
561	0.011942521	0.212447299
560	0.011953254	0.214229855
559	0.012064425	0.218117038
558	0.012413003	0.223440431
557	0.012511539	0.226296252
556	0.012531682	0.225640148
555	0.012563957	0.227882336
554	0.012672488	0.228226498
553	0.01292856	0.232004073
552	0.013098971	0.235186448
551	0.013149943	0.234466094
550	0.013502729	0.239026058
549	0.013682786	0.241633597
548	0.013708908	0.241054407
547	0.013991034	0.243513262
546	0.014379516	0.248491796
545	0.014452367	0.248948215
544	0.014582458	0.249021151
543	0.014887926	0.251434241
542	0.014969	0.25206314
541	0.014963221	0.249429996
540	0.015268804	0.251925196
539	0.015362388	0.251189924
538	0.015573038	0.252612651
537	0.015820814	0.254387477
536	0.015885929	0.253058148
535	0.016257659	0.255697746
534	0.016328855	0.254733178
533	0.016625044	0.255526047
532	0.016688469	0.25325732
531	0.016906461	0.253906138
530	0.017187159	0.253949982
529	0.01755668	0.255334484
528	0.01805002	0.258105454
527	0.018198303	0.257190853
526	0.018346667	0.255251105
525	0.018279965	0.251440395
524	0.019065215	0.256712906
523	0.019310486	0.256133222
522	0.019636102	0.257030668
521	0.020136753	0.258406338
520	0.02043918	0.258503717
519	0.0206942	0.257744258
518	0.021394143	0.262093368
517	0.021794221	0.262319129
516	0.022211008	0.263508754
515	0.022938639	0.266371365
514	0.023358694	0.267814059
513	0.023918778	0.270013947
512	0.024652834	0.273015479
511	0.025208264	0.275344986
510	0.025964853	0.278016867
509	0.026385802	0.279318438
508	0.027265427	0.283476752
507	0.027922316	0.286145364
506	0.028510558	0.287741138
505	0.029209654	0.290054293
504	0.029591525	0.290933274
503	0.030554005	0.295816898
502	0.031090974	0.296899296
501	0.031448623	0.297457564
500	0.031688002	0.29729992
499	0.032480518	0.299907211
498	0.033185782	0.303626002
497	0.033322527	0.302121654
496	0.033828418	0.304031307
495	0.034002552	0.303119521
494	0.034109578	0.30286824
493	0.034662246	0.304582238
492	0.034789565	0.304113562
491	0.034997169	0.303755096
490	0.035062637	0.303048805
489	0.03525749	0.303225159
488	0.035417731	0.302361349
487	0.035578839	0.302403177
486	0.035938136	0.303021472
485	0.035837318	0.301587113
484	0.036052178	0.300629914
483	0.036178741	0.29963593
482	0.036614049	0.300478207
481	0.036862906	0.301006717
480	0.037253659	0.301632994
479	0.037649589	0.302784764
478	0.037916071	0.302928099
477	0.038741611	0.305667559
476	0.039325901	0.30741112
475	0.039684712	0.308117758
474	0.040575387	0.311035407
473	0.041233534	0.312527723
472	0.041653997	0.31357406
471	0.042240354	0.314772915
470	0.04306191	0.317327479
469	0.043018747	0.314959039
468	0.044211898	0.319629482
467	0.044670049	0.31897218
466	0.044899932	0.318300735
465	0.045133161	0.317392325
